"com_code","com_annee","com_type","popref_annee","popref_mun","popref_a_part","popref_tot","popref_date_maj"
"01320","2024","COM","2022","3929","82","4011","2024-12-30"
"01321","2024","COM","2022","905","33","938","2024-12-30"
"01322","2024","COM","2022","5228","106","5334","2024-12-30"
"01323","2024","COM","2022","1003","18","1021","2024-12-30"
"01325","2024","COM","2022","1131","19","1150","2024-12-30"
"01328","2024","COM","2022","628","4","632","2024-12-30"
"01329","2024","COM","2022","164","1","165","2024-12-30"
"01330","2024","COM","2022","174","7","181","2024-12-30"
"01331","2024","COM","2022","195","1","196","2024-12-30"
"01332","2024","COM","2022","819","18","837","2024-12-30"
"01333","2024","COM","2022","3369","45","3414","2024-12-30"
"01334","2024","COM","2022","671","15","686","2024-12-30"
"01335","2024","COM","2022","427","6","433","2024-12-30"
"01336","2024","COM","2022","1216","25","1241","2024-12-30"
"01337","2024","COM","2022","1351","29","1380","2024-12-30"
"01338","2024","COM","2022","1232","26","1258","2024-12-30"
"01339","2024","COM","2022","1544","28","1572","2024-12-30"
"01342","2024","COM","2022","548","12","560","2024-12-30"
"01343","2024","COM","2022","1867","31","1898","2024-12-30"
"01344","2024","COM","2022","6078","159","6237","2024-12-30"
"01345","2024","COM","2022","2258","31","2289","2024-12-30"
"01346","2024","COM","2022","845","19","864","2024-12-30"
"01347","2024","COM","2022","2176","68","2244","2024-12-30"
"01348","2024","COM","2022","2969","60","3029","2024-12-30"
"01349","2024","COM","2022","524","13","537","2024-12-30"
"01350","2024","COM","2022","2569","50","2619","2024-12-30"
"01351","2024","COM","2022","1625","27","1652","2024-12-30"
"01352","2024","COM","2022","576","12","588","2024-12-30"
"01353","2024","COM","2022","1741","39","1780","2024-12-30"
"01354","2024","COM","2022","14584","224","14808","2024-12-30"
"01355","2024","COM","2022","488","8","496","2024-12-30"
"01356","2024","COM","2022","214","3","217","2024-12-30"
"01357","2024","COM","2022","505","7","512","2024-12-30"
"01358","2024","COM","2022","423","8","431","2024-12-30"
"01359","2024","COM","2022","262","2","264","2024-12-30"
"01360","2024","COM","2022","2042","38","2080","2024-12-30"
"01361","2024","COM","2022","1862","56","1918","2024-12-30"
"01362","2024","COM","2022","850","12","862","2024-12-30"
"01363","2024","COM","2022","1799","74","1873","2024-12-30"
"01364","2024","COM","2022","764","12","776","2024-12-30"
"01365","2024","COM","2022","1154","22","1176","2024-12-30"
"01366","2024","COM","2022","1092","14","1106","2024-12-30"
"01367","2024","COM","2022","687","9","696","2024-12-30"
"01368","2024","COM","2022","853","18","871","2024-12-30"
"01369","2024","COM","2022","953","23","976","2024-12-30"
"01370","2024","COM","2022","1735","15","1750","2024-12-30"
"01371","2024","COM","2022","1300","20","1320","2024-12-30"
"01372","2024","COM","2022","431","14","445","2024-12-30"
"01373","2024","COM","2022","1027","31","1058","2024-12-30"
"01374","2024","COM","2022","1953","32","1985","2024-12-30"
"01375","2024","COM","2022","784","19","803","2024-12-30"
"01376","2024","COM","2022","4243","44","4287","2024-12-30"
"01378","2024","COM","2022","2826","71","2897","2024-12-30"
"01379","2024","COM","2022","758","13","771","2024-12-30"
"01380","2024","COM","2022","589","12","601","2024-12-30"
"01381","2024","COM","2022","922","13","935","2024-12-30"
"01382","2024","COM","2022","357","4","361","2024-12-30"
"01383","2024","COM","2022","1637","21","1658","2024-12-30"
"01384","2024","COM","2022","2179","29","2208","2024-12-30"
"01385","2024","COM","2022","922","19","941","2024-12-30"
