"Code","LIB","mono","enf","Dipl","voit"
"01261","Monthieux",12.2,11.9,3.2,94.3
"01262","Montluel",14.8,10.6,5.1,86.9
"01263","Montmerle-sur-Saône",13.1,6.8,6,92.2
"01264","Montracol",6.5,9.7,4.6,94.2
"01265","Montréal-la-Cluse",15.5,12.5,5.4,86.6
"01266","Montrevel-en-Bresse",17,4.8,5.4,89.1
"01267","Nurieux-Volognat",14.3,7.7,5.8,95.8
"01268","Murs-et-Gélignieux",20,6.7,2.8,94.4
"01269","Nantua",22.7,17.4,7.8,83.5
"01272","Neuville-les-Dames",7,8.7,5,90.7
"01273","Neuville-sur-Ain",4.9,9.9,4.7,96.3
"01274","Les Neyrolles",27.8,11.1,5.4,92.4
"01275","Neyron",9,5.8,5.6,95.3
"01276","Niévroz",8.2,10.2,4.2,97.3
"01277","Nivollet-Montgriffon",0,0,3.2,94.9
"01279","Oncieu",0,0,7.2,88.9
"01280","Ordonnaz",28.6,14.3,10.4,95.8
"01281","Ornex",12.2,8.7,4.4,91.4
"01282","Outriaz",13.3,6.7,6,91.8
"01283","Oyonnax",16.7,15.6,6.2,79.9
"01284","Ozan",11.1,6.7,5.7,97.2
"01285","Parcieux",13.7,9.5,2.6,98
"01286","Parves et Nattages",5,5,4.6,95.8
"01288","Péron",12.4,7,3.3,96.3
"01289","Péronnas",13.1,8.2,6.7,89.9
"01290","Pérouges",8.3,4.9,14.3,93
"01291","Perrex",9.1,8.7,4.1,97
"01293","Peyriat",0,10,3.6,93.8
"01294","Peyrieu",16.7,4.2,4.5,95.4
"01295","Peyzieux-sur-Saône",12.8,13,5.6,98.2
"01296","Pirajoux",9.5,10.1,5,97
"01297","Pizay",18.9,9.4,3.8,97.2
"01298","Plagne",0,10,1.8,96.6
"01299","Le Plantay",6.1,5.9,3.1,98
"01301","Polliat",9.6,8,4.6,94
"01302","Pollieu",11.1,0,4.3,97.4
"01303","Poncin",16.3,11.4,5.5,89
"01304","Pont-d'Ain",16.3,9,5.9,92.1
"01305","Pont-de-Vaux",17,6.6,5.3,82.8
"01306","Pont-de-Veyle",31.3,11.2,6.7,91.2
"01307","Port",12,10,5.3,93
"01308","Pougny",13,6.5,2.3,95.9
"01309","Pouillat",40,0,1.6,92.5
"01310","Prémeyzel",0,14.3,20,100
"01311","Prémillieu",0,0,2.9,95.2
"01313","Prévessin-Moëns",16.6,11.2,3,95.2
"01314","Priay",4,6.5,4.6,91
"01317","Ramasse",11.1,5.6,3.5,95.6
"01318","Rancé",9.1,9.1,2.8,98.4
"01319","Relevant",6.7,10,4.8,98.9
"01320","Replonges",9.4,7.7,4.6,95.9
"01321","Revonnas",4,9.6,5,97.6
"01322","Reyrieux",12,8.9,4.8,96.6
"01323","Reyssouze",8.7,8.1,5.1,95.6
"01325","Rignieux-le-Franc",5.2,7.6,7.2,97.8
"01328","Romans",9.6,8.4,3.2,97.3
"01329","Rossillon",0,0,5.3,92.7
"01330","Ruffieu",0,0,3.4,94
"01331","Saint-Alban",16.7,8.3,6.1,96.4
"01332","Saint-André-de-Bâgé",8.2,8.1,4.7,96.9
"01333","Saint-André-de-Corcy",11.1,6.9,5.3,92.8
"01334","Saint-André-d'Huiriat",2.6,11.1,2.7,97.5
"01335","Saint-André-le-Bouchoux",13,21.7,3,100
"01336","Saint-André-sur-Vieux-Jonc",12.5,9.7,4.6,96.4
"01337","Saint-Bénigne",13.8,9.9,4.6,96.1
"01338","Groslée-Saint-Benoit",13.2,11.8,6.6,94.4
"01339","Saint-Bernard",9.2,6.7,4.1,95.9
"01342","Sainte-Croix",6.1,15.2,4.1,97
"01343","Saint-Cyr-sur-Menthon",11,8.8,4.1,94.7
"01344","Saint-Denis-lès-Bourg",12.1,8.8,5.7,91.7
"01345","Saint-Denis-en-Bugey",16.3,8.9,7,93.3
"01346","Saint-Didier-d'Aussiat",5.7,9.4,2.2,94.9
"01347","Saint-Didier-de-Formans",10.7,9.9,4,98.6
"01348","Saint-Didier-sur-Chalaronne",10.7,10,6,93.6
"01349","Saint-Éloi",9.3,3,5.5,98.3
"01350","Saint-Étienne-du-Bois",11,7.7,3.8,93.2
"01351","Saint-Étienne-sur-Chalaronne",12.1,14.1,5.9,95.7
"01352","Saint-Étienne-sur-Reyssouze",0,12.5,4.9,96.9
"01353","Sainte-Euphémie",10,7.7,4.6,96.4
"01354","Saint-Genis-Pouilly",13.4,9.9,4.1,89.3
"01355","Saint-Genis-sur-Menthon",7.5,7.1,4,94.3
"01356","Saint-Georges-sur-Renon",0,8.3,4.1,100
"01357","Saint-Germain-de-Joux",20,13.3,5.1,88.9
"01358","Saint-Germain-les-Paroisses",10.7,10.1,5.5,92.9
"01359","Saint-Germain-sur-Renon",6.7,6.7,13.8,97.8
"01360","Saint-Jean-de-Gonville",10.9,8.1,2.7,97.3
"01361","Saint-Jean-de-Niost",9.1,5.1,4.6,97.9
"01362","Saint-Jean-de-Thurigneux",11,6.2,4.7,96.7
"01363","Saint-Jean-le-Vieux",10.8,7.8,3.9,91.7
"01364","Saint-Jean-sur-Reyssouze",6.5,6.6,4.2,94.9
"01365","Saint-Jean-sur-Veyle",8.6,12.8,4.6,95.3
"01366","Sainte-Julie",4.8,9.6,5.3,97.3
"01367","Saint-Julien-sur-Reyssouze",7.5,5,4.8,94.7
"01368","Saint-Julien-sur-Veyle",14.9,6.4,5.1,96.8
"01369","Saint-Just",3.5,8.3,5,93.8
"01370","Saint-Laurent-sur-Saône",39.6,6.3,6.2,84.9
"01371","Saint-Marcel",10.8,6.9,4.5,97.8
"01372","Saint-Martin-de-Bavel",8.3,8.5,4.9,94.8
"01373","Saint-Martin-du-Frêne",12.9,6.5,6.8,92.9
"01374","Saint-Martin-du-Mont",12.5,6.2,5.5,94.4
"01375","Saint-Martin-le-Châtel",10.2,10.2,4.4,96.9
"01376","Saint-Maurice-de-Beynost",15,13.6,4.3,86.2
"01378","Saint-Maurice-de-Gourdans",7.5,8.6,5,97.5
"01379","Saint-Maurice-de-Rémens",17.4,10.9,6.1,94.4
"01380","Saint-Nizier-le-Bouchoux",12.1,9.1,6,92.7
"01381","Saint-Nizier-le-Désert",11.2,9,5.1,97.9
"01382","Sainte-Olive",12.7,5.9,4.5,99
"01383","Saint-Paul-de-Varax",16.1,11.6,5.7,92
"01384","Saint-Rambert-en-Bugey",17.9,17,6.2,84.5
"01385","Saint-Rémy",8.2,7.4,18.1,97.1
"01386","Saint-Sorlin-en-Bugey",20,7.1,5.5,94
"01387","Saint-Sulpice",7.1,7.1,3,96.9
