"IRIS","DISP_TP6019"
131080105,"46.2"
131100101,"18.8"
131100102,20080
131100103,19440
131100104,19350
131170101,15
131170102,27
131170103,46
131170104,"26.8"
131170105,"17.3"
131170106,16530
131170107,"19.5"
131170108,"10.3"
131170109,20190
131170110,"8.2"
131170202,19710
131170203,"10.8"
131170204,19170
131170205,"10.6"
131170208,"18.4"
131170209,"17.1"
132010101,"33.6"
132010102,"61.6"
132010103,"60.2"
132010104,"59.4"
132010201,"41.2"
132010202,"23.9"
132010203,"35.6"
132010302,"60.1"
132010303,"51.1"
132010402,"33.2"
132010501,"24.8"
132010502,"19.2"
132010503,"22.4"
132010504,"29.5"
132010601,"35.8"
132010602,"25.1"
132020101,10220
132020201,8140
132020202,"40.8"
132020203,"43.6"
132020204,"41.8"
132020205,"33.4"
132020301,"22.7"
132020302,"31.5"
132020303,"32.4"
132020401,"27.6"
132020402,"51.2"
132020403,"46.2"
132020404,"37.2"
132030101,"35.6"
132030102,"47.6"
132030103,"52.7"
132030104,"54.5"
132030105,"53.7"
132030202,"49.4"
132030203,"61.1"
132030204,"56.4"
132030205,53
132030301,"57.3"
132030302,"54.6"
132030303,"66.6"
132030304,"46.2"
132030305,"67.5"
132030401,52
132030402,"33.7"
132030403,"55.5"
132040101,"16.2"
132040102,"23.8"
132040103,"26.7"
132040104,"30.2"
132040105,"19.5"
132040106,"19.3"
132040201,"27.9"
132040202,"29.8"
132040203,"23.7"
132040204,"24.1"
132040301,17
132040302,"24.1"
132040303,13090
132040304,"25.6"
132040401,"24.8"
132040402,"19.3"
132040403,"16.6"
132040404,"19.2"
132050101,"27.5"
132050102,21
132050104,"29.4"
132050105,"26.6"
132050202,"15.3"
132050203,"18.6"
132050204,"22.4"
132050205,"18.4"
132050206,"23.9"
132050207,"20.1"
132050301,21
132050302,"29.6"
132050303,"28.5"
132050304,"26.5"
132050401,"21.1"
132050402,31
132050403,"28.1"
132060101,"19.3"
132060102,"18.2"
132060103,"21.8"
132060202,"16.1"
132060203,"22.8"
132060204,"20.9"
132060301,"18.8"
132060302,24
132060303,11700
132060401,18670
132060402,"13.7"
132060403,"15.9"
132060502,"27.2"
132060601,"13.8"
132060602,"10.6"
132060603,"14.4"
132060604,"14.5"
132070101,22160
132070102,20540
132070201,21610
132070202,20370
132070203,20120
132070401,"13.7"
132070402,"15.7"
132070403,19
132070501,25480
132070502,23410
132070601,"16.4"
132070602,"17.8"
132070603,14
132070604,"12.8"
132070701,"11.8"
132070702,"19.5"
132070703,"18.7"
132080101,"9.6"
132080102,"9.9"
132080301,"20.2"
132080302,"11.5"
132080401,20400
132080402,"11.9"
132080403,"10.5"
132080404,20680
132080405,"9.2"
132080406,"9.7"
132080501,"11.7"
132080601,19430
132080602,21230
132080603,21360
132080604,17630
132080701,"18.6"
132080702,"18.7"
132080703,"19.7"
132080704,"14.6"
132080801,"21.7"
132080802,"16.1"
132080803,"13.5"
132080804,"14.3"
132080805,11
132080806,"10.6"
132080901,20480
132080902,"9.6"
132080903,"7.6"
132080904,21920
132081001,19810
132081002,19430
132081003,19950
132090101,"11.1"
132090102,"11.7"
132090201,"10.7"
132090202,"8.2"
132090203,"7.4"
132090204,"10.5"
132090401,8
132090402,"21.2"
132090403,20850
132090404,"9.8"
132090405,"12.8"
132090406,19740
132090407,"32.3"
132090408,12580
132090501,"10.7"
132090601,"9.9"
132090701,"11.1"
132090702,"28.6"
132090703,"24.2"
132090704,19330
132090801,"19.7"
132090802,"18.2"
132090803,"20.6"
132090804,"15.7"
132090805,"30.7"
132090806,"19.4"
132090807,11
132090808,"21.4"
132090809,17450
132100101,"32.3"
132100102,"22.2"
132100103,"23.8"
132100104,"24.5"
132100201,"23.3"
132100301,"15.7"
132100302,"26.5"
132100401,"24.2"
132100402,"13.4"
132100403,"17.2"
132100404,11330
132100405,13410
132100406,"13.1"
132100407,"12.7"
132100501,"36.6"
132100502,"14.4"
132100503,"33.5"
132100504,"12.2"
132100505,18000
132100506,"20.5"
132100601,"27.9"
132100602,"18.7"
132110101,21700
132110201,"10.9"
132110301,"5.4"
132110401,22880
132110501,20
132110601,"42.5"
132110602,55
132110603,13
132110604,"14.4"
132110605,"20.2"
132110606,"24.9"
132110607,"18.4"
132110608,"14.8"
132110609,"13.9"
132110701,19
132110702,"27.4"
132110703,"29.2"
132110704,"18.6"
132110801,20780
132111001,30
132111002,"19.1"
132111003,"14.1"
132111005,10340
132111101,19880
132120101,"10.9"
132120102,"25.2"
132120103,"23.7"
132120201,"15.3"
132120202,"8.6"
132120301,18290
132120302,20020
132120303,20290
132120304,"21.3"
132120305,"9.7"
132120401,19160
132120402,20010
132120403,22810
132120404,"18.7"
132120405,15860
132120406,20090
132120501,"15.3"
132120601,"9.2"
132120602,19950
132120603,"8.9"
132120604,"11.6"
132120701,"7.3"
132120702,"8.1"
132130102,"10.1"
132130103,"9.1"
132130201,"11.4"
132130202,"26.5"
132130301,"55.8"
132130302,"30.2"
132130303,"33.9"
132130401,22280
132130501,21050
132130601,24
132130602,12830
132130603,12650
132130604,"25.7"
132130605,16
132130607,"24.6"
132130701,21410
132130802,"49.5"
132130803,"52.3"
132130804,"22.3"
132130805,"28.6"
132130806,"57.3"
132130901,"58.4"
132130902,"33.5"
132130903,"17.6"
132130904,"18.7"
132131001,"59.6"
132131002,"15.6"
132131003,"19.5"
132131004,"29.1"
132131005,"18.8"
132131006,"50.2"
132131101,"10.5"
132131102,10430
132131103,"7.2"
132140101,"52.6"
132140102,9910
132140201,"47.3"
132140202,"37.3"
132140203,"65.3"
132140204,"33.7"
132140205,"35.4"
132140301,"53.2"
132140302,"58.9"
132140303,"43.2"
132140401,20040
132140402,"16.3"
132140403,"39.4"
132140404,"36.1"
132140502,"25.2"
132140503,"61.1"
132140504,"57.2"
132140505,62
132140506,"50.4"
132140507,"45.6"
132140601,"36.1"
132140602,"36.2"
132140701,"20.2"
132150101,9740
132150102,48
132150103,"24.3"
132150202,18
132150301,"57.3"
132150302,"56.4"
132150303,"40.3"
132150401,"50.8"
132150402,"40.7"
132150501,71
132150502,"42.3"
132150601,23
132150602,"55.4"
132150603,"29.2"
132150701,"54.1"
132150702,"55.1"
132150703,44
132150705,"33.8"
132150801,"34.3"
132150802,"24.2"
132150803,"35.3"
132150901,"43.9"
132150902,"57.7"
132150903,"37.5"
132151001,"55.9"
132151002,"64.3"
132151003,"15.4"
132151101,54
132151102,"29.9"
132160101,"15.5"
132160102,"18.8"
132160103,"20.4"
132160301,12330
132160302,10550
132160401,"23.5"
132160403,28
140470101,"15.8"
140470102,"13.7"
140470201,"23.6"
140470203,"22.2"
140470301,"19.7"
140470302,18500
140470303,"9.9"
141180101,14
141180102,"17.9"
141180201,"13.4"
141180202,18660
141180301,"12.6"
141180302,16620
141180303,"16.2"
141180401,20680
141180501,17480
141180502,21110
141180601,"9.9"
141180701,19550
141180702,18660
141180801,16610
141180802,"11.7"
141180803,"13.3"
141180804,"9.7"
141180901,"40.9"
141180902,"53.3"
141180903,14
141180904,"46.2"
141181001,18330
141181101,"11.6"
141181102,"11.5"
141181202,19510
141181301,11360
141181401,"39.7"
141181402,"13.1"
141181403,"41.1"
141181501,"28.4"
141181502,"15.7"
141181503,"14.7"
141181601,"13.3"
141181701,"17.4"
141181702,"18.4"
141181703,"13.7"
141181704,18240
141181801,"54.2"
141181802,10660
141181901,"35.9"
141181902,"12.5"
141181903,"35.5"
141182002,17990
141182004,"28.1"
141182006,"17.1"
141182007,"22.3"
143270102,16600
143270103,"12.7"
143270201,"57.5"
143270202,13
143270301,"33.8"
143270302,"35.4"
143270401,"34.3"
143270501,"33.3"
143270503,18660
143270601,"21.3"
143270602,39
143410103,"15.9"
143410104,"11.3"
143410106,"12.1"
143410107,14530
143660101,"18.1"
143660102,"19.4"
143660201,"23.2"
143660202,"12.1"
143660301,"19.4"
143660302,"42.7"
143660303,"24.1"
143660304,"19.6"
143660601,"22.9"
143660701,"22.2"
147620101,"13.5"
147620102,16330
147620103,18
147620201,"29.2"
147620202,"31.4"
147620302,17610
147620401,18680
147620402,16890
147620403,11
150140101,"9.1"
150140102,"28.9"
150140103,17810
150140104,"13.6"
150140105,"26.1"
150140106,17490
150140107,"11.9"
150140108,"11.6"
150140109,18590
150140110,13910
150140111,"30.1"
150140112,17910
150140113,"11.2"
160150101,27
160150102,"14.5"
160150201,"17.7"
160150202,15
160150203,"13.5"
160150301,"18.9"
160150302,"15.5"
160150402,"12.8"
160150403,"27.4"
160150501,"39.9"
160150502,"28.1"
160150601,10850
160150602,"21.9"
160150603,"17.4"
160150703,"50.4"
160150704,"30.7"
160150705,"43.9"
161020101,11430
161020102,"9.1"
161020201,15
161020202,"14.4"
161020203,15820
161020301,"15.8"
161020302,"15.4"
172990101,"21.6"
172990102,"31.2"
172990201,"14.5"
172990202,16360
172990203,"12.4"
172990204,17110
172990301,22
172990302,17310
172990401,"20.8"
172990402,13420
173000101,"17.2"
173000102,"18.1"
173000103,"18.7"
173000104,"12.7"
173000201,22830
173000202,"6.2"
173000301,18
173000302,"23.8"
173000402,"19.1"
173000403,"14.8"
173000501,26
173000502,"42.8"
173000503,"37.1"
173000504,"38.1"
173000505,"39.2"
173000601,"13.1"
173000602,"12.1"
173000603,"5.9"
173000701,"12.6"
173000702,"9.9"
173000703,18830
173000801,"11.1"
173000802,"9.6"
173000901,19510
173000902,11780
173000903,"35.1"
173000904,"30.8"
173001001,"19.9"
173001002,18
173001003,"14.6"
173060101,"12.4"
173060102,18560
173060103,"12.9"
173060104,16
173060105,"11.9"
173060106,"11.6"
173060107,"9.5"
173060109,"19.8"
174150101,"18.3"
174150102,"12.5"
